address1,resource_id,resource_name,address2,city,state,zip,county,phone,fax,tty,toll_free,hotline,email,web_page,facebook_name,facebook_url,twitter,short_description
1501 E. Pythian,34110,A Sporting Chance for Special Populations,P.O. Box 11337,Springfield,MO,65808,GREENE COUNTY,417-874-1958,417-864-4307,,,,sportingchance@sbcglobal.net,www.asportingchance.net,,,,"Develops and provides amateur sports training, competition and recreational programs for any person with a disability, youth who are disadvantaged, abused and neglected children, at-risk teenagers and senior citizens."
2411 W. Catalpa St.,33205,A.O. Treatment Services,P.O. Box 1277,Springfield,MO,65801,GREENE COUNTY,417-862-3455,417-862-9771,,1-877-862-3455,,mturner@aoinc.org,www.aoinc.org,Alternative Opportunities Treatment Services_,_ _https://www.facebook.com/AOTreatmentServices,,Residential substance abuse treatment center for women participating in the Comprehensive Substance Treatment and Rehabilitation program (CSTAR) for women and their children.
460 Eagle Rock Road,33284,AARP Smart Driver Course (formerly AARP Safe Driving Program),,Branson,MO,65616,GREENE COUNTY,417-888-8888,,,,,judyrose@centurylink.net,www.aarp.org,,,,"A one day, four-hour defensive driving course for those age 50 and older."
"1370 E. Primrose St., Suite A",33326,Abilities First,,Springfield,MO,65804,GREENE COUNTY,417-886-0404,417-882-5400,,,,jan@abilitiesfirst.net,www.abilitiesfirst.net,,,,Administers Greene County tax programs for persons with developmental disabilities.
P.O. Box 10212,33997,"Accounting and Financial Women's Alliance (formerly American Society of Women Accountants, Springfield Chapter 98)",,Springfield,MO,65808-0212,GREENE COUNTY,417-818-2409,,,,,jshorney@telcommcu.com,www.springfieldafwa.com,,,,Empowering women in the accounting and financial professions since 1938.
Missouri State University,33665,Across The Life Span (ATLS),901 S. National Ave.,Springfield,MO,65897,GREENE COUNTY,417-836-6914,,,,,kerritassin@missouristate.edu,www.missouristate.edu/soa/,,,,"A private and public coalition that works to promote personal financial literacy and independence. Helps working families, individuals with disabilities, non-English speaking and the elderly with tax preparation and e-filing."
"1310 E. Kingsley, Suite C",54334,Adoption for Families and Family Therapy of the Ozarks,,Springfield,MO,65804,,417-882-7700,417-887-0457,,1-888-449-2229,,adoption4families@yahoo.com,www.adoptionforfamilies.com,,,,"Strives to find adoptive families for children and adoptive children for families; provides services to birth parents and their families. Provides counseling services to individuals, families and groups."
"1235 E. Cherokee, PDR #2",665644,Adoption Triad of the Ozarks,,Springfield,MO,65804,,417-840-8492,,,,,sfieker@ichoosethisday.org,www.ichoosethisday.org,,,,"A safe, non-judgmental environment for all adults to share experiences and learn from other adult adoptees, birth parents and adoptive parents."
4349 E. Kensington St.,33961,Adoptive Families of Southwest Missouri,,Springfield,MO,65809,GREENE COUNTY,417-882-2516,,,,,jgerard95@aol.com,www.iafswmo.org,Adoptive Families of SWMO,https://www.facebook.com/groups/114235705277845/,,Support group for those in all stages of adoption.
2305 E. Kearney St.,33155,Air and Military Museum of the Ozarks,,Springfield,MO,65803,GREENE COUNTY,417-864-7997,417-866-2448,,,,,www.ammomuseum.com,,,,"Hands-on museum of aviation and military artifacts; includes vehicles displayed for viewing by individuals and/or groups; operated by military veterans who are dedicated to the restoration, preservation and teaching of military history."
P.O. Box 1846,33156,Al-Anon Family Groups,,Springfield,MO,65801,GREENE COUNTY,417-885-9114,,,,,,www.missouri-al-anon.org,,,,Provides support groups for families and friends of alcoholics; meetings are held at different locations.
"1031 E. Battlefield Road , Suite 124C",33157,Alcoholics Anonymous (AA),,Springfield,MO,65807,GREENE COUNTY,417-823-7125,417-883-5407,,,417-823-7125,spfdcentraloffice@yahoo.com,www.wamo-aa.org; www.springfieldmoaa.org,,,,A support group for recovering alcoholics.
949 E. Primrose St.,54137,All Star Smiles Sertoma Club,,Springfield,MO,65807,GREENE COUNTY,417-827-2125,,,,,sertoma@sbcglobal.net,,,,,Primary sponsor of the Ronald McDonald Tooth Truck.
2116 E. Regency Place,33954,"Alpha Delta Kappa, Psi Chapter",,Springfield,MO,65804,GREENE COUNTY,417-799-0459,,,,,stella_sharp@yahoo.com,www.alphadeltakappa.org,,,,An international honorary sorority for women in education.
999 E. Gaslight Drive,33238,Alpha Gamma Chapter of Delta Kappa Gamma,,Springfield,MO,65810,GREENE COUNTY,417-886-1322,,,,,ginnybaumann@me.com,www.dkg.org or alphagammamo.weebly.com,,,,Promotes professional and personal growth of women educators in a world society.
