ADDRESS 1,RESOURCE ID,RESOURCE NAME,ADDRESS 2,CITY,STATE,ZIP,COUNTY,PHONE,FAX,TTY,TOLL-FREE,HOTLINE,EMAIL,WEB PAGE,FACEBOOK NAME,FACEBOOK URL,TWITTER,SERVICES
2411 W. Catalpa St.,33205,A.O. Treatment Services,P.O. Box 1277,Springfield,MO,65801,GREENE COUNTY,417-862-3455,417-862-9771,,1-877-862-3455,,mturner@aoinc.org,www.aoinc.org,Alternative Opportunities Treatment Services_,_ _https://www.facebook.com/AOTreatmentServices,,Residential substance abuse treatment center for women participating in the Comprehensive Substance Treatment and Rehabilitation program (CSTAR) for women and their children.
"1370 E. Primrose St., Suite A",33326,Abilities First,,Springfield,MO,65804,GREENE COUNTY,417-886-0404,417-882-5400,,,,jan@abilitiesfirst.net,www.abilitiesfirst.net,,,,Administers Greene County tax programs for persons with developmental disabilities.
"1310 E. Kingsley, Suite C",54334,Adoption for Families and Family Therapy of the Ozarks,,Springfield,MO,65804,,417-882-7700,417-887-0457,,1-888-449-2229,,adoption4families@yahoo.com,www.adoptionforfamilies.com,,,,"Strives to find adoptive families for children and adoptive children for families; provides services to birth parents and their families. Provides counseling services to individuals, families and groups."
"1235 E. Cherokee, PDR #2",665644,Adoption Triad of the Ozarks,,Springfield,MO,65804,,417-840-8492,,,,,sfieker@ichoosethisday.org,www.ichoosethisday.org,,,,"A safe, non-judgmental environment for all adults to share experiences and learn from other adult adoptees, birth parents and adoptive parents."
4349 E. Kensington St.,33961,Adoptive Families of Southwest Missouri,,Springfield,MO,65809,GREENE COUNTY,417-882-2516,,,,,jgerard95@aol.com,www.iafswmo.org,Adoptive Families of SWMO,https://www.facebook.com/groups/114235705277845/,,Support group for those in all stages of adoption.
"500 W. Battlefield Ave., Suite B",53034,Ambassadors for Children,,Springfield,MO,65807,GREENE COUNTY,417-708-0565,417-708-0566,,,,dfay@ccozarks.org,www.ccozarks.org; www.ambassadors4children.org,Ambassadors for Children,https://www.facebook.com/ambassadorsforchildren,,"Addresses the needs of abused and neglected children through the provision of new clothing, tutoring, hygiene items and self-esteem enhancing activities for foster children; matches child protective caseworkers with community groups. Provides Christmas presents for kids in foster care, and operates Prom Closet. An operating agency of the Council of Churches of the Ozarks."
2740 E. Pythian St.,33575,Ashley House (formerly Regional Girls Shelter),,Springfield,MO,65802,GREENE COUNTY,417-862-9634,417-865-6507,,,,info@care4kids.org,www.pchas.org,,,,"Provides residential care for abandoned, abused or neglected girls in the area, most of whom are in the custody of the Family Services Division."
2740 E. Pythian St.,33576,Ashley House Auxiliary (formerly Regional Girls Shelter Auxiliary),,Springfield,MO,65802,GREENE COUNTY,417-862-9634,417-865-6507,,,,info@care4kids.org,www.pchas.org,,,,"Supports Ashley House which provides residential care for abandoned, abused or neglected girls in the area."
3372 W. Battlefield Road,33187,Big Brothers Big Sisters of the Ozarks,,Springfield,MO,65807,GREENE COUNTY,417-889-9136,417-889-8339,,,,bbbs@bigbro.com,www.bigbro.com,Big Brothers Big Sisters of the Ozarks,https://www.facebook.com/BBBSOzarks,@bigbrobigsis,"Provides children facing adversity with strong and enduring, professionally supported one-to-one relationships that change their lives for the better, forever."
424 E. Commercial St.,5558,Bill's Place -- Burrell Behavioral Health Homeless Services,,Springfield,MO,65803,,417-761-5520,417-761-5521,,,,michael.lehman@burrellcenter.com,,,,,"A drop-in center that offers counseling to the homeless, the mentally ill and the general public."
